Region,District,New_Schools,Girls_Schools,Dormitories,Classrooms
ARUSHA,ARUSHA,1,0,3,7
ARUSHA,ARUSHA CC,2,0,0,5
ARUSHA,ARUSHA DC,2,0,0,2
ARUSHA,ARUSHA JIJI,1,0,0,0
ARUSHA,KARATU,2,0,2,6
ARUSHA,KARATU DC,1,0,0,2
ARUSHA,LONGIDO,4,1,2,6
ARUSHA,LONGIDO DC,1,0,0,1
ARUSHA,MERU,1,0,0,0
ARUSHA,MERU DC,1,0,1,1
ARUSHA,MONDULI,2,0,2,8
ARUSHA,MONDULI DC,1,0,0,3
ARUSHA,NGORONGORO,3,0,1,13
ARUSHA,NGORONGORO DC,4,0,0,6
DAR ES SALAAM,ILALA,3,0,0,8
DAR ES SALAAM,ILALA CC,1,0,0,5
DAR ES SALAAM,ILALA MC,3,0,0,0
DAR ES SALAAM,KIGAMBONI,2,0,0,2
DAR ES SALAAM,KIGAMBONI MC,2,0,0,0
DAR ES SALAAM,KINONDONI,1,0,0,1
DAR ES SALAAM,KINONDONI MC,2,0,0,4
DAR ES SALAAM,TEMEKE,3,0,0,0
DAR ES SALAAM,TEMEKE MC,1,0,0,8
DAR ES SALAAM,UBUNGO,1,0,0,0
DAR ES SALAAM,UBUNGO MC,1,0,0,5
DODOMA,BAHI,3,0,3,8
DODOMA,BAHI DC,1,0,0,4
DODOMA,CHAMWINO,5,1,10,14
DODOMA,CHAMWINO DC,1,0,0,5
DODOMA,CHEMBA,3,0,3,8
DODOMA,CHEMBA DC,1,0,0,6
DODOMA,DODOMA,3,0,2,10
DODOMA,DODOMA CC,3,0,0,14
DODOMA,DODOMA JIJI,1,0,0,0
DODOMA,DODOMA MC,1,0,0,0
DODOMA,KONGWA,6,0,7,21
DODOMA,KONGWA DC,1,0,0,5
DODOMA,MPWAPWA,3,0,3,10
DODOMA,MPWAPWA DC,1,0,0,3
DODOMA,KONDOA,2,0,0,6
DODOMA,KONDOA DC,1,0,0,6
DODOMA,KONDOA TC,1,0,0,0
GEITA,BUKOMBE,2,0,1,5
GEITA,BUKOMBE DC,2,0,0,2
GEITA,CHATO,3,0,3,6
GEITA,CHATO DC,3,0,0,4
GEITA,GEITA,2,0,5,8
GEITA,GEITA DC,4,0,0,8
GEITA,GEITA TC,2,1,0,4
GEITA,MBOGWE,2,0,2,4
GEITA,MBOGWE DC,1,0,0,2
GEITA,NYANG'HWALE,3,0,1,2
GEITA,NYANG'HWALE DC,1,0,0,2
IRINGA,IRINGA,3,0,4,8
